Type d'équipement ;Is Loading Bay Item ;Zone spécifique du quai de chargement ;Nom ;Numéro d'asset ;Fabricant ;Modèle ;Nom de la salle ;Nom de baie ;Slot U ;Nom du châssis ;Module Slot ;Type ;Autre type ;SHORT_NAME ;SERIAL NUMBER ;End_Move_Target ;ASSET_TAG ;ASSET_ID ;Equipement approximé ;Type de puissance ;Puissance nominale (kW);Puissance typique (kW);Puissance spécifiée par l'utilisateur (kW);Facteur de charge (%);Puissance en entrée (kW);Type de phase ;Statut de l'équipement ;Nombre de cordons ;Nombre de cordons connectés ;Nombre de cordons actifs ;Nombre de cordons requis ;Onduleurs (UPS) ;Cordon électrique 1 PDU ;Cordon électrique 1 Prise de courant ;Cordon électrique 1 Socket Circuit ;Cordon électrique 2 PDU ;Cordon électrique 2 Prise de courant ;Cordon électrique 1 Alimentation électrique ;Cordon électrique 1 Type de prise ;Cordon électrique 3 PDU ;Cordon électrique 3 Prise de courant ;Cordon électrique 2 Socket Circuit ;Cordon électrique 1 Disjoncteur ;Cordon électrique 1 Socket Phase ;Cordon électrique 4 PDU ;Cordon électrique 4 Prise de courant ;Cordon électrique 2 Type de prise ;Cordon électrique 2 Alimentation électrique ;Cordon électrique 2 Disjoncteur ;Cordon électrique 2 Socket Phase ;Etat d'installation ;Date d'installation (dd/mm/yyyy);Cordon électrique 3 Alimentation électrique ;Cordon électrique 3 Disjoncteur ;Date de décommissionnement (dd/mm/yyyy);Repérage ID ;Cordon électrique 4 Alimentation électrique ;Cordon électrique 4 Disjoncteur ;Montage ;Sens de montage ;Style de montage ;LONG_NAME ;Lames installées ;Allée ;Cage ;Zone ;Hauteur (U);Largeur (m);Profondeur (m);Poids (kg);Synchronisé avec Gateway ;ID Système externe ;ID Système Asset ;ID Système Baie ;ID Système Châssis 
Equipements IT;;;L15:Slot 18;;ATTO;FibreBridge 7500;PC;L15;18;;;Serveurs;Bridge;0;0;0;0;0;0;Puissance nominale et facteur;0.132;;;50;0.066;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 18;;;Avant;Pas de rotation;Monté(s) en baie;;;;;;1;0.44;0.251;4.4;;0;82922-92934;798938-127822;
Equipements IT;;;L15:Slot 19;;NetApp;AFF A300;PC;L15;19;;;Serveurs;;0;0;0;0;0;0;Typique;;0.582;;50;0.582;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 19;;;Avant;Pas de rotation;Monté(s) en baie;;;;;;3;0.447;0.607;34.5;;0;115740-93005;798938-127822;
Equipements IT;;;ATTO-1;;ATTO;FireBridge 7500;PC;L15;22;;;Autres;Bridge;0;0;0;0;0;0;Puissance nominale et facteur;0.264;;;50;0.132;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2019-07-05T00:00:00.000Z;;;;L15:Slot 22;;;Avant;Pas de rotation;Monté(s) en baie;ATTO-1;;;;;1;0.44;0.251;4.536;;0;934420-108626;798938-127822;
Equipements IT;;;ATTO-2;;ATTO;FireBridge 7500;PC;L15;23;;;Autres;Bridge;0;0;0;0;0;0;Puissance nominale et facteur;0.264;;;50;0.132;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2019-07-05T00:00:00.000Z;;;;L15:Slot 23;;;Avant;Pas de rotation;Monté(s) en baie;ATTO-2;;;;;1;0.44;0.251;4.536;;0;976723-108654;798938-127822;
Equipements IT;;;Netapp-01;;NetApp;DS224C;PC;L15;24;;;Stockage;;0;0;0;0;0;0;Puissance nominale et facteur;0.42;;;32.148;0.135;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2019-07-05T00:00:00.000Z;;;;L15:Slot 24;;;Avant;Pas de rotation;Monté(s) en baie;Netapp-01;;;;;2;0.445;0.484;24.2;;0;1096525-108707;798938-127822;
Equipements IT;;;Netapp-02;;NetApp;DS224C;PC;L15;26;;;Stockage;;0;0;0;0;0;0;Puissance nominale et facteur;0.42;;;32.148;0.135;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2019-07-05T00:00:00.000Z;;;;L15:Slot 26;;;Avant;Pas de rotation;Monté(s) en baie;Netapp-02;;;;;2;0.445;0.484;24.2;;0;1117921-108726;798938-127822;
Equipements IT;;;L15:Slot 41;;Brocade;6505 Switchs (Commutateurs);PC;L15;41;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.099;;;50;0.05;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 41;;;Arrière;Pas de rotation;Monté(s) en baie;;;;;;1;0.438;0.443;9.16;;0;221606-93332;798938-127822;
Equipements IT;;;L15:Slot 42;;Brocade;6505 Switchs (Commutateurs);PC;L15;42;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.099;;;50;0.05;Monophasé;On;1;1;1;1;Non défini;Supply A;Non défini;;;;Non-connecté;;;;;Non défini;;;;;;;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 42;;;Arrière;Pas de rotation;Monté(s) en baie;;;;;;1;0.438;0.443;9.16;;0;206284-93254;798938-127822;
Equipements IT;;;F-NP844-23;AF045702;NetApp;DS14MK4;PC;K15;1;;;Stockage;;0;0;0;0;0;0;Puissance nominale et facteur;0.426;;;50;0.213;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;K15:Slot 01;;;Avant;Pas de rotation;Monté(s) en baie;F-NP844-23;;;;;3;0.445;0.508;35;;0;798938-127984;798938-127973;
Equipements IT;;;F-NP844-2;AF045305;NetApp;DS14MK4;PC;K15;4;;;Stockage;;0;0;0;0;0;0;Puissance nominale et facteur;0.426;;;50;0.213;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;K15:Slot 04;;;Avant;Pas de rotation;Monté(s) en baie;F-NP844-2;;;;;3;0.445;0.508;35;;0;798938-127991;798938-127973;
