1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Audit sur site;Notes;Asset_id to Add;Source d'information Asset_id;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T14;;;;;;P1;E16:Slot 16;1;Balai Clean;;;P1E16:Slot 16;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;16;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T13;;;;;;P1;E16:Slot 18;1;Balai Clean;;;P1E16:Slot 18;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;18;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T12;;;;;;P1;E16:Slot 20;1;Balai Clean;;;P1E16:Slot 20;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;20;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T11;;;;;;P1;E16:Slot 22;1;Balai Clean;;;P1E16:Slot 22;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;22;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T10;;;;;;P1;E16:Slot 24;1;Balai Clean;;;P1E16:Slot 24;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;24;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T9;;;;;;P1;E16:Slot 26;1;Balai Clean;;;P1E16:Slot 26;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;26;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T8;;;;;;P1;E16:Slot 28;1;Balai Clean;;;P1E16:Slot 28;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;28;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T7;;;;;;P1;E16:Slot 30;1;Balai Clean;;;P1E16:Slot 30;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;30;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T6;;;;;;P1;E16:Slot 32;1;Balai Clean;;;P1E16:Slot 32;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;32;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T5;;;;;;P1;E16:Slot 34;1;Balai Clean;;;P1E16:Slot 34;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;34;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T4;;;;;;P1;E16:Slot 36;1;Balai Clean;;;P1E16:Slot 36;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;36;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T3;;;;;;P1;E16:Slot 38;1;Balai Clean;;;P1E16:Slot 38;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;38;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T2;;;;;;P1;E16:Slot 40;1;Balai Clean;;;P1E16:Slot 40;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;40;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T1;;;;;;P1;E16:Slot 42;1;Balai Clean;;;P1E16:Slot 42;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;42;Identifiable;NULL;patch panel;;;;
Proliant DL580 G8;Server;HP;HANA02-PB027;S0632AOS;CZJ41802G7;M-0000657173;AF209210;AF209210;P1;HANAP1R1-SW1:Slot 01;4;Balai Clean;;;P1HANAP1R1-SW1:Slot 01;5-Clean Projet AIR22 Datacenter P1P2;Commun;SANS MATCH-POSITION : CONTROL SUR SITE;HANAP1R1-SW1;1;Identifiable;NULL;PB027-032+040+3PAR AF209203-6;Rack : P1 C21  | computer | Appliance | M-0000657175 | HANA02-APPLIANCE_OLD | HANA02-APPLIANCE | AF209196;;;
Proliant DL580 G8;Server;HP;HANA02-PB028;S0633AOS;CZJ418020P;M-0000657306;AF209209;AF209209;P1;HANAP1R1-SW1:Slot 05;4;Balai Clean;;;P1HANAP1R1-SW1:Slot 05;5-Clean Projet AIR22 Datacenter P1P2;Commun;SANS MATCH-POSITION : CONTROL SUR SITE;HANAP1R1-SW1;5;Identifiable;NULL;PB027-032+040+3PAR AF209203-6;Rack : P1 C21  | computer | Appliance | M-0000657175 | HANA02-APPLIANCE_OLD | HANA02-APPLIANCE | AF209196;;;
Proliant DL580 G8;Server;HP;HANA02-PB029;S0634AOS;CZJ41802GC;M-0000659127;AF209208;AF209208;P1;HANAP1R1-SW1:Slot 09;4;Balai Clean;;;P1HANAP1R1-SW1:Slot 09;5-Clean Projet AIR22 Datacenter P1P2;Commun;SANS MATCH-POSITION : CONTROL SUR SITE;HANAP1R1-SW1;9;Identifiable;NULL;PB027-032+040+3PAR AF209203-6;Rack : P1 C21  | computer | Appliance | M-0000657175 | HANA02-APPLIANCE_OLD | HANA02-APPLIANCE | AF209196;;;
Proliant DL580 G8;Server;HP;HANA02-PB042;S0684AOS;CZJ41802G8;M-0000660265;AF209207;AF209207;P1;HANAP1R1-SW1:Slot 13;4;Balai Clean;;;P1HANAP1R1-SW1:Slot 13;5-Clean Projet AIR22 Datacenter P1P2;Commun;SANS MATCH-POSITION : CONTROL SUR SITE;HANAP1R1-SW1;13;Identifiable;NULL;PB027-032+040+3PAR AF209203-6;Rack : P1 C21  | computer | Appliance | M-0000657175 | HANA02-APPLIANCE_OLD | HANA02-APPLIANCE | AF209196;;;
3PAR StoreServ 7200 2 Node Storage Base (QR482A);Server;HP;;;;;;AF209206;P1;HANAP1R1-SW1:Slot 17;2;Balai Clean;;;P1HANAP1R1-SW1:Slot 17;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;HANAP1R1-SW1;17;NULL;NULL;;;;;
3PAR StoreServ 7200 2 Node Storage Base (QR482A);Server;HP;;;;;;AF209205;P1;HANAP1R1-SW1:Slot 19;2;Balai Clean;;;P1HANAP1R1-SW1:Slot 19;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;HANAP1R1-SW1;19;NULL;NULL;;;;;
3PAR StoreServ 7200 2 Node Storage Base (QR482A);Server;HP;;;;;;AF209204;P1;HANAP1R1-SW1:Slot 21;2;Balai Clean;;;P1HANAP1R1-SW1:Slot 21;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;HANAP1R1-SW1;21;NULL;NULL;;;;;
3PAR StoreServ 7200 2 Node Storage Base (QR482A);Server;HP;;;;;;AF209203;P1;HANAP1R1-SW1:Slot 23;2;Balai Clean;;;P1HANAP1R1-SW1:Slot 23;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;HANAP1R1-SW1;23;NULL;NULL;;;;;
