Modele;Type;Fabricant;LONG_NAME;SHORT_NAME;SERIAL_NUMBER;ASSET_ID;ASSET_TAG;asset_number;Nom_de_la_salle;Reperage_ID_origin;Reperage_ID;End_Move_Target;STATUS_hpe;salle_Dest;Rack_U_Dest;olivier_index;PROJET_Responsable;A_FAIRE_VALIDER;Valide_O_N;AUTRE_PROPOSITION_ou_CONFIRMER;Termine_Oui_Non;Index_CC;from_source;status_CMDB;status_position_cmdb;status_asset_id;status_position;status_name;status_etat;status_global;status_etat_hpe;status_spec;status_cc;status_cc_2;status_cc_3;CMDB_Servers_Status;CMDB_Servers_Owner;Hauteur_U
Proliant DL380 G5;Serveurs;Hp;XYLA1;XYLA1;CZC6382XHD;M-0000213949;2885720;2885720;P3;AC33:Slot 07;AC33:Slot 07;Sc1 P2P ACN Move;6sigma Hpe;P3;AB29:Slot 27;P3AC33:Slot 07;1-Projet ACN + RNT;Eric Tormos;Non;CLEAN;;P3AC33:Slot 07;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
SunFire V440;Serveurs;Sun;SU517;SU517AOS;0643AL295C;M-0000202098;2885410;2885410;P3;X37:Slot 06;X37:Slot 06;Sc1 P2P ACN Move;6sigma Hpe;P3;H19:Slot 25;P3X37:Slot 06;1-Projet ACN + RNT;Eric Tormos;Non;P3_RN_INTRA_TYPE1_RJ45_Patch_Rack_CCC;;P3X37:Slot 06;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;4.0
SPARC Enterprise T5220;Serveurs;Sun;SU594;SU594ARS;BCL092700H;M-0000322913;AF047869;AF047869;P3;H08:Slot 36;H08:Slot 36;Sc1 P2P ACN Move;6sigma Hpe;P3;H27 (I30):Slot 29;P3H08:Slot 36;1-Projet ACN + RNT;Eric Tormos;Non;No Move;;P3H08:Slot 36;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
SPARC Enterprise T5220;Serveurs;Sun;SHUGAR3;SHUGAR3;ALK094718B;M-0000300413;AF046424;AF046424;P3;H08:Slot 34;H08:Slot 34;Sc1 P2P ACN Move;6sigma Hpe;P3;I19:Slot 23;P3H08:Slot 34;1-Projet ACN + RNT;Eric Tormos;Non;CLEAN;;P3H08:Slot 34;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;nom_court type OLD;To be cleaned;Trouvé - bon asset id - Bonne localisation - nom_court type OLD - To be cleaned;To be cleaned;NULL;CHIPRE To be cleaned;;;;;2.0
Enterprise 450;Serveurs;Sun;ADSUS008;ADSUS008;834M2333;M-1000035515;2658489;2658489;P3;AF33:Slot 01;AF33:Slot 01;Sc1 P2P ACN Move;6sigma Hpe;P3;J19:Slot 01;P3AF33:Slot 01;1-Projet ACN + RNT;Eric Tormos;Non;03/23 CLEAN;;P3AF33:Slot 01;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;13.071
SPARC Enterprise M5000;Serveurs;Sun;SUM517;SUM517;BCF092506H;M-0000287476;AF047974;AF047974;P3;K08:Slot 02;K08:Slot 02;Sc1 P2P ACN Move;6sigma Hpe;P3;J23:Slot 01;P3K08:Slot 02;1-Projet ACN + RNT;Eric Tormos;Non;CLEAN;;P3K08:Slot 02;6SIGMA;OK;OK;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;10.0
Catalyst 4506;Switchs (Commutateurs);Cisco Systems;SWC2P310;SWC2P310;FOX082505JZ;M-0000231397;2658610;2658610;P3;AA11:Slot 04;AA11:Slot 04;;6sigma Hpe;;;P3AA11:Slot 04;0-EXISTANT P3/P4;Cecile Pialot;;;;P3AA11:Slot 04;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;10.0
Catalyst 4006;Switchs (Commutateurs);Cisco Systems;SWC2P314;SWC2P314;FOX0732019M;M-0000231238;2657873;2657873;P3;AA11:Slot 15;AA11:Slot 15;;6sigma Hpe;;;P3AA11:Slot 15;0-EXISTANT P3/P4;?;;;;P3AA11:Slot 15;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;9.0
MX-1640;Serveurs;MRV;TCT2P305;TCT2P305;080087-80A535;M-0000231269;2658609;2658609;P3;AA11:Slot 26;AA11:Slot 26;;6sigma Hpe;;;P3AA11:Slot 26;0-EXISTANT P3/P4;Cecile Pialot;Oui;;;P3AA11:Slot 26;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
MX-1640;Serveurs;MRV;TCT2P302;TCT2P302;080087-0C8CE5;M-0000231156;2658608;2658608;P3;AA11:Slot 28;AA11:Slot 28;;6sigma Hpe;;;P3AA11:Slot 28;0-EXISTANT P3/P4;Cecile Pialot;Oui;;;P3AA11:Slot 28;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
